subject,condition,replication,leg,joint,time,angle
1,1,1,1,1,0,4.682880977
1,1,1,1,1,1,5.073127404
1,1,1,1,1,2,5.229774364
1,1,1,1,1,3,5.083272661
1,1,1,1,1,4,4.652398502
1,1,1,1,1,5,4.037476398
1,1,1,1,1,6,3.388987386
1,1,1,1,1,7,2.863742937
1,1,1,1,1,8,2.585939043
1,1,1,1,1,9,2.621625509
1,1,1,1,1,10,2.970253734
1,1,1,1,1,11,3.571625944
1,1,1,1,1,12,4.327659818
1,1,1,1,1,13,5.13144705
1,1,1,1,1,14,5.894429606
1,1,1,1,1,15,6.562356442
1,1,1,1,1,16,7.118039302
1,1,1,1,1,17,7.57354842
1,1,1,1,1,18,7.957864511
1,1,1,1,1,19,8.303995133
1,1,1,1,1,20,8.63893863
1,1,1,1,1,21,8.978071646
1,1,1,1,1,22,9.324104846
1,1,1,1,1,23,9.668834807
1,1,1,1,1,24,9.995988638
1,1,1,1,1,25,10.28502686
1,1,1,1,1,26,10.51674343
1,1,1,1,1,27,10.67987652
1,1,1,1,1,28,10.77636376
1,1,1,1,1,29,10.82307528
1,1,1,1,1,30,10.8490623
1,1,1,1,1,31,10.88883949
1,1,1,1,1,32,10.97345339
1,1,1,1,1,33,11.12227277
1,1,1,1,1,34,11.33818323
1,1,1,1,1,35,11.60808381
1,1,1,1,1,36,11.90784464
1,1,1,1,1,37,12.20985249
1,1,1,1,1,38,12.49008329
1,1,1,1,1,39,12.73201171
1,1,1,1,1,40,12.92591393
1,1,1,1,1,41,13.06555038
1,1,1,1,1,42,13.14609778
1,1,1,1,1,43,13.16619316
1,1,1,1,1,44,13.13322051
1,1,1,1,1,45,13.06748452
1,1,1,1,1,46,13.00033572
1,1,1,1,1,47,12.96487384
1,1,1,1,1,48,12.98323331
1,1,1,1,1,49,13.05739983
1,1,1,1,1,50,13.16791569
1,1,1,1,1,51,13.28086568
1,1,1,1,1,52,13.35866709
1,1,1,1,1,53,13.36997603
1,1,1,1,1,54,13.2951403
1,1,1,1,1,55,13.12652165
1,1,1,1,1,56,12.86472142
1,1,1,1,1,57,12.51349988
1,1,1,1,1,58,12.0757825
1,1,1,1,1,59,11.55154232
1,1,1,1,1,60,10.93600665
1,1,1,1,1,61,10.21622407
1,1,1,1,1,62,9.365866917
1,1,1,1,1,63,8.341204207
1,1,1,1,1,64,7.082328792
1,1,1,1,1,65,5.52485439
1,1,1,1,1,66,3.625288014
1,1,1,1,1,67,1.399098808
1,1,1,1,1,68,-1.039178528
1,1,1,1,1,69,-3.455872477
1,1,1,1,1,70,-5.524887104
1,1,1,1,1,71,-6.907107926
1,1,1,1,1,72,-7.352816535
1,1,1,1,1,73,-6.779316288
1,1,1,1,1,74,-5.289971022
1,1,1,1,1,75,-3.138318333
1,1,1,1,1,76,-0.653531169
1,1,1,1,1,77,1.84531892
1,1,1,1,1,78,4.119557602
1,1,1,1,1,79,6.042298951
1,1,1,1,1,80,7.590805453
1,1,1,1,1,81,8.812273763
1,1,1,1,1,82,9.784208677
1,1,1,1,1,83,10.58012408
1,1,1,1,1,84,11.24595257
1,1,1,1,1,85,11.78720185
1,1,1,1,1,86,12.16822921
1,1,1,1,1,87,12.32447329
1,1,1,1,1,88,12.18727612
1,1,1,1,1,89,11.71469311
1,1,1,1,1,90,10.91844063
1,1,1,1,1,91,9.876781844
1,1,1,1,1,92,8.725667484
1,1,1,1,1,93,7.628732272
1,1,1,1,1,94,6.736811168
1,1,1,1,1,95,6.15297605
1,1,1,1,1,96,5.913051788
1,1,1,1,1,97,5.984419221
1,1,1,1,1,98,6.276310831
1,1,1,1,1,99,6.656862946
1,1,1,1,1,100,6.974934376
1,1,1,1,2,0,3.693683293
1,1,1,1,2,1,4.258875594
1,1,1,1,2,2,5.346944676
1,1,1,1,2,3,6.769831401
1,1,1,1,2,4,8.35171617
1,1,1,1,2,5,9.95699462
1,1,1,1,2,6,11.50112089
1,1,1,1,2,7,12.94463326
1,1,1,1,2,8,14.27606339
1,1,1,1,2,9,15.49170844
1,1,1,1,2,10,16.57983374
1,1,1,1,2,11,17.51480552
1,1,1,1,2,12,18.26221172
1,1,1,1,2,13,18.79062753
1,1,1,1,2,14,19.08370305
1,1,1,1,2,15,19.14681501
1,1,1,1,2,16,19.00685538
1,1,1,1,2,17,18.70651093
1,1,1,1,2,18,18.29629619
1,1,1,1,2,19,17.82638453
1,1,1,1,2,20,17.33926414
1,1,1,1,2,21,16.86323596
1,1,1,1,2,22,16.40785364
1,1,1,1,2,23,15.9638281
1,1,1,1,2,24,15.50950508
1,1,1,1,2,25,15.02211112
1,1,1,1,2,26,14.48889929
1,1,1,1,2,27,13.91336469
1,1,1,1,2,28,13.31459279
1,1,1,1,2,29,12.72184108
1,1,1,1,2,30,12.16727423
1,1,1,1,2,31,11.67886607
1,1,1,1,2,32,11.2739411
1,1,1,1,2,33,10.95448558
1,1,1,1,2,34,10.70553699
1,1,1,1,2,35,10.49860566
1,1,1,1,2,36,10.29953131
